time,high
2018-09-01 10:00:00,7066
2018-09-01 09:00:00,7069.11
2018-09-01 08:00:00,7054.77
2018-09-01 07:00:00,7054.41
2018-09-01 06:00:00,7039.05
2018-09-01 05:00:00,7049.42
2018-09-01 04:00:00,7062.88
2018-09-01 03:00:00,7056.64
2018-09-01 02:00:00,7089.34
2018-09-01 01:00:00,7076.92
2018-09-01 00:00:00,6997.39
2018-08-31 23:00:00,6997.4
2018-08-31 22:00:00,6941.23
2018-08-31 21:00:00,6936.6
2018-08-31 20:00:00,6971
2018-08-31 19:00:00,6990.3
2018-08-31 18:00:00,6971.7
2018-08-31 17:00:00,6969.99
2018-08-31 16:00:00,6980
2018-08-31 15:00:00,7007.01
2018-08-31 14:00:00,7004.18
2018-08-31 13:00:00,7017
2018-08-31 12:00:00,7018
2018-08-31 11:00:00,6975.3
2018-08-31 10:00:00,6964.74
2018-08-31 09:00:00,6960.64
2018-08-31 08:00:00,6990.52
2018-08-31 07:00:00,6998
2018-08-31 06:00:00,6955
2018-08-31 05:00:00,6956.89
2018-08-31 04:00:00,6943.15
2018-08-31 03:00:00,6841.63
2018-08-31 02:00:00,6869.98
2018-08-31 01:00:00,6880
2018-08-31 00:00:00,6878.85
2018-08-30 23:00:00,6896.07
2018-08-30 22:00:00,6897.2
2018-08-30 21:00:00,6868
2018-08-30 20:00:00,6907.36
2018-08-30 19:00:00,6937.06
2018-08-30 18:00:00,6935.17
2018-08-30 17:00:00,6962.21
2018-08-30 16:00:00,6985.47
2018-08-30 15:00:00,7006.35
2018-08-30 14:00:00,6999
2018-08-30 13:00:00,7021.68
2018-08-30 12:00:00,7026.01
2018-08-30 11:00:00,7026
2018-08-30 10:00:00,7054.45
2018-08-30 09:00:00,7052.94
2018-08-30 08:00:00,7064.1
2018-08-30 07:00:00,7062.01
2018-08-30 06:00:00,7064.07
2018-08-30 05:00:00,7076.07
2018-08-30 04:00:00,7057.45
2018-08-30 03:00:00,7022.1
2018-08-30 02:00:00,7024.25
2018-08-30 01:00:00,7028.28
2018-08-30 00:00:00,7007.34
2018-08-29 23:00:00,7080
2018-08-29 22:00:00,7108.2
2018-08-29 21:00:00,7135
2018-08-29 20:00:00,7118.4
2018-08-29 19:00:00,7096
2018-08-29 18:00:00,7128
2018-08-29 17:00:00,7114
2018-08-29 16:00:00,7090
2018-08-29 15:00:00,7072.66
2018-08-29 14:00:00,7076.97
2018-08-29 13:00:00,7061.87
2018-08-29 12:00:00,7064.13
2018-08-29 11:00:00,7046.67
2018-08-29 10:00:00,7074.32
2018-08-29 09:00:00,7087.35
2018-08-29 08:00:00,7090.63
2018-08-29 07:00:00,7121.47
2018-08-29 06:00:00,7092.58
2018-08-29 05:00:00,7112.63
2018-08-29 04:00:00,7127
2018-08-29 03:00:00,7115
2018-08-29 02:00:00,7078
2018-08-29 01:00:00,7062.23
2018-08-29 00:00:00,7059.97
2018-08-28 23:00:00,7069.14
2018-08-28 22:00:00,7092
2018-08-28 21:00:00,7092.6
2018-08-28 20:00:00,7049.52
2018-08-28 19:00:00,7046.99
2018-08-28 18:00:00,6933.29
2018-08-28 17:00:00,6930
2018-08-28 16:00:00,6935
2018-08-28 15:00:00,6947.15
2018-08-28 14:00:00,6930.11
2018-08-28 13:00:00,6914.96
2018-08-28 12:00:00,6912
2018-08-28 11:00:00,6907.51
2018-08-28 10:00:00,6921.06
2018-08-28 09:00:00,6944.75
2018-08-28 08:00:00,6915
